Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Total unfounded crimes
2015,426314,Embry-Riddle Aeronautical University-Worldwide,131,Whidbey Island,13740,0
2015,177339,Evangel University,3,Evangel University - Kirkland,1958,0
2015,235149,Everett Community College,1,Everett Community College,7505,0
2015,235149,Everett Community College,2,School of Cosmetology Campus,7505,0
2015,235149,Everett Community College,3,Aviation Campus,7505,0
2015,235149,Everett Community College,4,Corporate and Continuing Education Campus,7505,0
2015,235149,Everett Community College,5,Monroe Center Campus,7505,0
2015,446260,Evergreen Beauty and Barber College-Everett,1,Main Campus,128,0
2015,446260,Evergreen Beauty and Barber College-Everett,2,Renton Campus,128,0
2015,443049,Faith International University,1,Main Campus,370,0
2015,458131,Gary Manuel Aveda Institute,1,Main Campus,376,0
2015,235307,Glen Dow Academy of Hair Design,1,Main Campus,78,0
2015,230889,Goddard College,2,Port Townsend,512,0
2015,235316,Gonzaga University,1,Main Campus,7491,0
2015,235316,Gonzaga University,2,Gonzaga-In-Florence,7491,0
2015,235334,Grays Harbor College,1,Main Campus,1804,0
2015,235334,Grays Harbor College,2,Riverview Education Center,1804,0
2015,235334,Grays Harbor College,3,Columbia Education Center,1804,0
2015,235343,Green River College,1,Main Campus,8153,0
2015,235343,Green River College,2,Kent Campus,8153,0
2015,235343,Green River College,3,Enumclaw Campus,8153,0
2015,235343,Green River College,4,Auburn Center,8153,0
2015,235422,Heritage University,1,Heritage University Main Campus,1219,0
2015,235583,Highlights Beauty Schools,1,Main Campus,212,0
2015,407708,Highlights Beauty Schools,1,Branch Campus,242,0
2015,235431,Highline College,1,Highline College,6560,0
2015,235501,International Air and Hospitality Academy,1,Main Campus,122,0
2015,235699,Lake Washington Institute of Technology,1,Kirkland Campus,3531,0
2015,235750,Lower Columbia College,1,Lower Columbia College,2969,0
2015,147369,Moody Bible Institute,2,Spokane,3922,0
2015,236072,North Seattle College,1,Main Campus,6310,0
2015,167358,Northeastern University,3,Seattle Campus,19940,0
2015,377546,Northwest College of Art & Design,1,Main,100,0
2015,434362,Northwest HVAC/R Training Center,1,Northwest HVAC/R Association & Training Center,42,0
2015,380377,Northwest Indian College,1,Lummi Campus,641,0
2015,458140,Northwest School of Wooden Boat Building,1,Main Campus,62,0
2015,236133,Northwest University,1,Northwest University,1236,0
2015,487603,Northwest University-College of Adult and Professional Studies,1,Main Campus,813,0
2015,232982,Old Dominion University,22,ODU at Olympic College,24672,0
2015,236188,Olympic College,1,Bremerton Campus,7177,0
2015,236188,Olympic College,2,Shelton,7177,0
2015,236188,Olympic College,3,Poulsbo,7177,0
2015,236230,Pacific Lutheran University,1,Main Campus,3170,4
2015,455406,Pacific Northwest University of Health Sciences,1,Main campus,495,0
2015,178721,Park University,11,Fairchild AFB,11720,0
2015,235158,Paroba College of Cosmetology,1,Paroba College of Cosmetology,118,0
2015,234924,Paul Mitchell the School-Richland,1,Paul Mitchell the School Richland,114,0
2015,462071,Paul Mitchell the School-Spokane,1,Paul Mitchell the School Spokane,158,0
2015,236258,Peninsula College,1,Main Campus,2271,0
2015,236258,Peninsula College,2,Forks Branch,2271,0
2015,236258,Peninsula College,3,Port Townsend Branch,2271,0
2015,236258,Peninsula College,4,North Olympic Peninsula Skills Center,2271,0
2015,236212,Perry Technical Institute,1,Perry Technical Institute,825,0
2015,235237,Pierce College District,1,Pierce College Fort Steilacoom,5559,0
2015,235237,Pierce College District,2,Pierce College at Joint Base Lewis-McChord- Army,5559,0
2015,235237,Pierce College District,3,Pierce College at Joint Base Lewis-McChord- Air Force,5559,0
2015,449074,Pima Medical Institute-Renton,1,Renton Campus,763,0
2015,368629,Pima Medical Institute-Seattle,1,Seattle Campus,734,0
2015,236382,Renton Technical College,1,Renton Technical College,3961,0
2015,236452,Saint Martin's University,1,Saint Martin's University Lacey Campus,1719,0
2015,236513,Seattle Central College,1,Seattle Central College,6574,1
2015,236513,Seattle Central College,2,Seattle Maritime Academy,6574,0
2015,236513,Seattle Central College,3,Seattle Central Wood Technology Center,6574,0
2015,439914,Seattle Institute of East Asian Medicine,1,Main Campus,37,0
2015,236577,Seattle Pacific University,1,Main Campus,4204,0
2015,236595,Seattle University,1,Main Campus,7405,0
2015,236610,Shoreline Community College,1,Shoreline Community College,5751,0
2015,236638,Skagit Valley College,1,Mount Vernon Campus,5290,0
2015,236638,Skagit Valley College,2,Whidbey Island Campus,5290,0
2015,236638,Skagit Valley College,4,San Juan Center,5290,0
2015,236638,Skagit Valley College,5,Marine Technology Center,5290,0
2015,236638,Skagit Valley College,6,Cardinal Craft Brewing Academy,5290,0
2015,236656,South Puget Sound Community College,1,Main Campus,4839,0
2015,236504,South Seattle College,1,South Seattle College,6076,0
2015,236504,South Seattle College,2,Georgetown Campus,6076,0
2015,236692,Spokane Community College,1,Main Campus,10218,0
2015,236692,Spokane Community College,2,SCC Colville,10218,0
2015,236692,Spokane Community College,3,SCC Inchelium,10218,0
2015,236692,Spokane Community College,4,SCC Newport,10218,0
2015,236692,Spokane Community College,5,SCC Republic,10218,0
2015,236692,Spokane Community College,7,SCC Ione,10218,0
2015,236708,Spokane Falls Community College,1,Main Campus,5909,0
2015,236708,Spokane Falls Community College,5,SFCC Pullman Campus,5909,0
2015,485476,Studio Beauty School,1,Main Campus,41,0
2015,236744,Stylemaster College of Hair Design,1,Main Campus,72,0
2015,459550,Summit Salon Academy,1,Main Campus,132,0
2015,236753,Tacoma Community College,1,Tacoma Community College,7202,0
2015,235167,The Evergreen State College,1,Main Campus,4190,0
2015,235167,The Evergreen State College,2,Tacoma Campus,4190,0
2015,441131,The Seattle School of Theology & Psychology,1,The Seattle School of Theology & Psychology Main Campus,302,0
2015,484826,Tint School of Makeup & Cosmetology-Seattle,1,Tint School of Makeup & Cosmetology,69,0
2015,235352,Toni & Guy Hairdressing Academy-Shoreline,1,Evergreen Beauty College - Shoreline,48,0
2015,236328,University of Puget Sound,1,Main Campus,2774,0
2015,377555,University of Washington-Bothell Campus,1,Bothell Campus,5277,0
2015,236948,University of Washington-Seattle Campus,1,Main Campus,45408,2
2015,377564,University of Washington-Tacoma Campus,1,Tacoma Campus,4599,0
2015,451626,Victoria's Academy of Cosmetology,1,Victoria's Academy of Cosmetology,86,0
2015,236887,Walla Walla Community College,1,Walla Walla Campus,4617,0
2015,236887,Walla Walla Community College,2,Clarkston Center,4617,0
2015,236896,Walla Walla University,1,Main Campus,1840,0
2015,236896,Walla Walla University,2,Billings,1840,0
